Original,Adjusted
0,9.99013
12.5763,6.53861
7.54521,3.85627
0,12.6443
3.3886,10.7805
10.2947,20.0747
0,1.50002
21.4437,11.537
38.8309,14.2154
0,-5.3305
0,4.68198
35.6566,26.5636
15.9049,7.45031
5.14434,-9.19479
17.1093,-0.0113388
12.9451,6.29662
4.55627,9.89375
14.3122,4.75576
33.9145,19.5627
23.2023,19.5095
16.3066,10.2968
21.9996,22.4888
0,21.6505
0,11.8654
14.9588,2.36591
0,-3.59197
0,3.23307
0,8.73889
0,14.1453
0,18.2249
27.7346,14.2029
0,14.8074
34.9749,12.2806
0,5.10752
0,1.63737
8.34243,0.136937
29.989,16.5797
22.2593,2.94068
5.44199,11.2999
0,5.82622
37.4723,15.4209
2.49006,1.22241
0,1.41701
0,12.4799
0,11.5219
0,1.95414
0,6.60267
20.7908,17.5115
0,17.8624
0,10.465
0,9.38256
2.17396,-5.12475
0,0.759156
16.4396,4.7324
5.94425,0.0730649
0,17.285
27.5808,17.5723
17.8154,14.5718
4.03661,-4.62864
6.15232,13.674
0,-2.99216
0,2.39756
0,7.46495
0,3.0274
34.299,27.6055
8.3998,-0.94689
26.2852,14.9674
33.563,23.0362
0,16.1174
26.1064,18.7381
10.2463,1.01657
0,3.91637
15.479,11.4881
0,16.7
27.0762,11.2283
0,5.71706
0,7.95312
49.1114,23.9148
26.5893,27.0503
11.0593,8.42975
0,12.8892
11.2652,8.3363
9.20358,0.935313
25.3867,9.3889
10.316,-0.124469
0,21.9854
0,16.891
28.9114,9.86812
21.1254,10.439
0,13.4186
1.66702,-6.50329
28.736,15.9944
0,5.46153
0,-9.60931
27.0418,19.5401
0,14.3482
36.1008,17.916
0,1.80513
0,-0.5046
8.09774,17.303
0,26.9488
10.7047,8.08708
0,18.1637
35.0126,14.163
0,12.7476
9.37645,4.84615
3.13789,-1.92034
17.921,-2.2421
14.5232,4.78176
0,6.74379
5.52455,2.70052
11.2149,8.32573
6.96931,12.2033
0,1.90589
0,11.2576
11.401,15.4219
20.0916,16.7319
0,13.2275
0,16.0701
0,10.2742
11.9952,5.04586
7.59825,11.0405
0,6.81632
0,6.04782
0,-6.27578
30.3581,10.4321
20.1088,10.0703
0,4.69366
17.2782,8.38383
91.1603,74.4507
20.7593,9.1735
0,13.9273
8.01059,6.26428
0,10.9324
21.275,10.3887
3.86674,8.36489
0,8.68926
0,13.4528
0,14.4105
0,16.4353
1.47073,2.73956
2.99266,4.32237
34.9847,14.2219
0,-0.742691
0,0.462374
28.8742,22.7795
0,12.2433
4.53366,6.63742
19.4158,17.2801
3.79079,7.1654
0,0.480746
0.279648,5.1276
0,18.1389
0,-1.43198
0,0.10366
0,1.04621
0,-3.10139
0,14.9638
6.93133,6.11635
29.3191,6.14269
0,0.133285
0,10.7408
0,7.77465
6.19016,4.56601
0,22.8312
0,11.7491
5.38021,3.55899
24.9147,19.3422
0,16.5948
45.9749,20.1761
9.06161,10.8455
14.5346,10.9576
0,12.9044
75.4958,37.8894
0,0.560286
0,4.19396
12.9834,7.73868
11.7068,15.4407
5.38291,20.556
0,8.24579
9.76988,2.28951
0,16.298
0,-4.87366
16.9465,13.3958
0.205679,7.80624
0,-3.9734
6.52193,6.45791
8.11453,3.79489
13.0042,16.5741
11.3652,-1.52776
9.6017,6.64747
0,3.32792
16.3834,10.1027
0,12.7373
0,7.56937
0,18.2041
0,9.55797
15.6217,3.48712
37.4003,28.8614
0.958213,-0.653926
0,6.5138
4.15693,3.23795
30.4327,22.4751
0,9.87722
21.6475,19.2492
0,-0.963902
34.6408,32.8218
16.0326,10.0821
1.59136,0.123052
0.123696,1.24571
0,17.6841
13.0913,18.1041
0,7.55582
0,-2.81401
7.75245,6.67815
27.1915,12.8857
27.1133,19.5473
0,1.78867
2.24298,-1.27452
51.1969,18.5035
0,-5.33342
0,20.698
10.0624,11.9878
9.49738,-1.11879
18.1419,23.2871
0,-0.433678
25.5043,6.69826
6.53409,7.04233
0,8.08387
14.1604,16.7659
0,15.4974
81.9617,48.4963
0,7.85652
0,8.21612
10.1723,14.6131
22.8393,13.4094
0,4.81049
41.0519,9.19143
0,2.32383
5.56794,5.11856
0,6.8442
0,26.8705
16.3668,7.49663
0,6.76646
0,24.8072
0,2.06725
5.70245,-2.35183
0.676886,-0.505982
7.58944,7.77988
0,9.85349
1.40816,4.40532
0.0978252,-3.54729
6.93184,13.5361
0,4.20504
0,17.0231
31.1516,20.1807
0,14.1955
31.7699,21.027
0,10.1197
2.06984,3.52289
16.8736,2.10815
2.07079,15.9733
43.7212,30.4849
0,2.36616
0,19.1665
19.7834,13.2585
0,9.1795
0,22.5392
15.732,-1.59593
8.77831,7.13026
6.073,7.67695
11.2419,4.2368
0,5.56977
0,2.1068
0,7.92082
0,19.671
2.88464,-0.169535
8.05585,5.50821
23.2931,10.3471
6.66417,7.76527
24.2597,10.4179
0,-1.41615
0,3.21433
2.0873,4.89822
13.2475,10.3789
33.3562,15.2942
13.4611,3.8066
7.18935,-1.42467
14.5414,3.65855
18.5239,8.72667
0,22.6057
69.2649,43.955
0,12.1365
0,2.40168
0,7.05304
18.9472,4.194
1.22756,0.485052
0,10.962
0,-7.47726
17.5669,4.29818
15.236,17.6125
33.6137,12.3888
0.641273,2.43029
45.094,22.385
1.89741,-0.592133
0.327916,0.377025
7.15002,1.26561
22.7662,17.1063
0,6.2481
31.4004,14.7924
0,7.18832
45.8876,34.125
11.6758,10.667
0,11.9385
15.6272,5.01736
3.66153,9.53221
8.21623,7.91175
44.8556,34.9709
8.50552,4.28081
0,4.45693
0,-0.37735
20.613,5.66292
3.0797,0.153586
12.9681,10.4251
0.781739,-0.353831
0,12.603
3.34542,5.10361
6.78658,14.3845
0,-0.227315
0,11.8495
0,15.6306
21.9005,13.8654
0,6.60327
0,12.2403
17.3645,9.25893
18.4888,6.18266
42.2593,30.981
54.9622,35.8757
0,17.6998
20.2269,8.70038
0,10.0965
36.7877,21.0749
0,10.5025
4.19092,4.11288
10.9329,9.79439
0,2.65221
0,7.70831
49.1596,36.0368
7.00716,3.31217
3.35726,10.5401
25.9078,11.0286
34.9899,22.7954
4.53271,6.49436
7.5124,11.3195
11.8621,-0.0737151
6.61566,7.73902
0,18.6329
10.2637,12.0616
0,14.4078
32.7046,28.6009
2.97685,5.59553
0,4.61879
7.45907,2.90079
0,0.46789
54.5158,35.7908
27.5236,17.2516
0,10.9991
0,1.23245
10.0313,9.85683
0,16.4391
0,10.9777
0,15.0921
5.57915,4.40284
6.468,10.8126
0.373555,9.25343
41.9033,16.0652
0,23.0834
5.47658,1.26496
3.87133,-5.70081
0,9.83769
33.3686,19.8672
46.8346,22.6914
0,-0.402388
32.1127,13.9826
0,-0.00139169
89.8917,54.8561
28.5396,20.6809
2.33204,7.32423
0,5.16188
0.232693,6.03232
21.5261,12.628
0.410355,13.0658
59.3056,40.3261
18.5849,3.59134
0,14.7649
5.92099,6.11498
0,5.63609
21.8469,15.9052
42.338,29.1824
21.5102,23.7955
19.0338,14.0766
27.5938,12.3054
42.0059,27.1453
0,10.3052
25.331,20.1371
0,16.459
22.8775,18.3709
6.44606,-2.72203
54.3739,35.6617
10.5549,4.01963
36.0873,11.6256
20.7134,15.9706
28.4173,13.402
42.7675,23.4766
9.31124,3.60341
7.62503,1.34393
4.7436,12.9066
30.5142,16.5144
0,12.1352
0,9.1203
0,-3.16352
0.499225,-3.68369
0,14.767
45.0383,16.101
0,14.5603
0,6.27849
0,5.52062
9.76281,11.8707
23.1751,14.1174
27.739,17.9066
23.147,6.71322
15.8862,15.3287
37.4399,19.1663
17.8415,12.869
10.6185,7.85654
5.89674,2.04248
19.5561,-0.208968
47.7937,29.7391
45.3036,37.4731
0,2.95672
0,15.1927
0,8.26255
0,7.57494
8.88482,13.0698
36.8242,26.7408
14.9608,12.891
25.162,27.896
0,7.39579
6.82398,3.25205
0,-2.58303
21.1467,-1.15885
25.0504,8.59003
11.8006,8.08889
0,10.8094
0,18.2577
3.23457,3.98897
32.2944,20.2773
0,-0.339139
8.7589,11.1285
32.2221,26.5499
0,6.68411
0,3.9001
19.6617,1.18321
0,5.18398
0,6.49753
26.4546,13.8171
82.7447,44.9958
58.2999,28.4201
19.6323,15.0286
24.5932,17.5438
2.28181,3.15412
31.7347,14.7708
13.8389,15.4498
0,-3.41486
10.6318,1.32858
0,-1.1135
0,10.9831
0,4.0994
0,16.1207
0,22.1967
0,-0.561663
0,0.273901
0,17.7818
0,1.2827
21.2451,17.282
0.407221,3.33327
0,9.95291
15.0556,22.9655
20.4462,19.007
0,19.4916
0,10.6322
36.7226,12.1926
35.9129,24.5272
20.7932,18.1186
0,9.41093
27.0588,17.1859
10.512,15.3577
33.9529,18.4018
23.658,16.7998
23.8522,13.3453
0,9.99939
21.0344,2.81396
62.1547,38.9991
0,4.66552
5.37934,13.1761
0,14.6503
3.33906,7.29259
0,7.21781
0,18.2436
34.0487,21.4116
13.017,9.77342
0,13.6257
0.579794,0.618735
25.639,12.3323
5.06162,2.85776
37.4799,14.7544
0,1.44869
0,5.95907
0,16.9606
8.30871,5.96614
0,20.089
0,3.45756
0,8.79747
14.89,22.3812
0,11.7164
0,21.8377
30.4855,37.0153
0,8.09267
25.1456,29.8405
0,7.57887
0,4.67001
0,6.65368
4.08387,-0.985756
0,6.74467
0,5.83896
13.6436,5.04306
14.2869,-0.163509
0,1.34673
0,10.3935
0,17.4691
33.0072,24.7611
45.703,22.1597
0,-0.0854546
0,4.49994
0,10.0422
0,7.95508
37.2625,37.1399
0,10.9488
9.63926,9.73145
49.6434,29.6196
20.3821,7.74257
0,6.87406
21.2676,20.8087
17.5585,9.31184
1.82747,6.67138
0,14.0145
0,4.55254
0.464245,-4.62651
0,4.38866
0,3.84307
41.0639,25.6733
20.4568,14.6133
0,-2.81345
0,-4.76643
40.8648,15.86
10.2354,9.87582
0,18.7774
0,22.403
0,2.56009
12.7734,9.27075
0,-1.27111
17.3613,16.4259
49.2546,27.8643
12.5297,5.10494
11.5173,1.65503
0,18.461
0,-7.09983
14.2792,12.8595
0,-3.81223
0.559141,7.24909
0,6.52679
35.1573,32.1096
14.1288,18.2582
27.7046,21.7788
0,3.43017
0,1.42914
0,4.96368
9.1137,11.7967
0,16.2209
10.1543,-9.83149
0,4.45575
0,4.98499
40.0679,13.9104
0,13.2661
6.99371,3.68136
33.1773,16.2993
4.4542,0.646981
0,20.9691
0,16.8985
18.4888,10.4523
6.38433,6.94006
0,3.61018
0,21.9012
3.50108,6.37456
0,14.242
17.9508,17.8179
22.6553,14.4099
2.56732,-6.79006
18.7973,3.47349
0,4.68488
26.463,17.6159
10.7013,21.5659
0,0.974752
0,-2.18944
0,9.9539
15.3297,17.3502
12.6371,1.77337
0,11.7307
0,7.93717
4.81382,13.6079
0,12.7102
0,4.62612
14.5452,12.0615
13.4241,6.97701
0,6.11424
0,1.28253
18.3694,16.3971
17.1518,11.2513
0,10.6879
22.1018,11.9461
0,10.5479
9.46663,7.672
4.10304,2.05544
0,13.4888
37.6395,23.6211
14.4989,9.65162
0,2.69431
3.02294,8.81354
0,11.405
6.78219,15.7763
0,1.20388
0,3.98017
0,20.8002
0,15.0021
9.34917,2.13697
22.544,7.60256
0,1.34736
2.64074,10.5622
0,11.2424
0,0.896606
0,6.41507
17.1783,20.4403
10.256,4.40556
0,2.97989
0,-1.55042
11.8075,1.1169
0,10.0534
0,17.9658
0,-0.941373
0,15.4412
35.7172,13.7385
2.96972,9.32694
22.6568,8.44314
10.7225,14.6358
2.87019,12.0154
0,12.1147
17.902,13.3528
1.84776,-1.30632
6.29457,-1.51345
26.9887,26.4176
6.81794,1.25035
0,19.1459
0,15.4702
0,6.29882
0,10.7992
0,19.4273
0,11.6604
13.3023,1.6942
15.3318,9.31245
0,19.1373
11.1118,14.6802
